legacy_id	new_id
DMP0725	P-0000782-T01
DMP0723	P-0000783-T01
DMP0721	P-0000784-T01
DMP0728	P-0000785-T01
DMP0729	P-0000786-T01
DMP0738	P-0000787-T01
DMP0745	P-0000788-T01
DMP0736	P-0000789-T01
DMP0739	P-0000790-T01
DMP0741	P-0000791-T01
DMP0742	P-0000792-T01
DMP0740	P-0000795-T01
DMP0733	P-0000796-T01
DMP0737	P-0000797-T01
DMP0734	P-0000798-T01
DMP0746	P-0000799-T01
DMP0743	P-0000800-T01
DMP0735	P-0000802-T01
DMP0751	P-0000803-T01
DMP0750	P-0000804-T01
DMP0752	P-0000805-T01
DMP0758	P-0000806-T01
DMP0755	P-0000807-T01
DMP0754	P-0000808-T01
DMP0759	P-0000809-T01
DMP0756	P-0000811-T01
DMP0747	P-0000812-T01
DMP0748	P-0000813-T01
DMP0757	P-0000814-T01
DMP0749	P-0000815-T01
DMP0753	P-0000816-T01
DMP0760	P-0000818-T01
DMP0773	P-0000819-T01
DMP0772	P-0000820-T01
DMP0766	P-0000821-T01
DMP0770	P-0000822-T01
DMP0763	P-0000823-T01
DMP0764	P-0000824-T01
DMP0765	P-0000825-T01
DMP0767	P-0000826-T01
DMP0769	P-0000827-T01
DMP0768	P-0000691-T01
DMP0771	P-0000829-T01
DMP0761	P-0000830-T01
DMP0762	P-0000831-T01
DMP0785	P-0000836-T01
DMP0775	P-0000837-T01
DMP0782	P-0000838-T01
DMP0778	P-0000839-T01
DMP0776	P-0000840-T01
DMP0780	P-0000841-T01
DMP0781	P-0000842-T01
DMP0784	P-0000843-T01
DMP0777	P-0000845-T01
DMP0774	P-0000846-T01
DMP0783	P-0000847-T01
DMP0779	P-0000848-T01
DMP0797	P-0000849-T01
DMP0808	P-0000850-T01
DMP0801	P-0000851-T01
DMP0798	P-0000852-T01
DMP0799	P-0000853-T01
DMP0802	P-0000854-T01
DMP0807	P-0000855-T01
DMP0804	P-0000856-T01
DMP0806	P-0000858-T01
DMP0803	P-0000859-T01
DMP0800	P-0000860-T01
DMP0809	P-0000861-T01
DMP0791	P-0000862-T01
DMP0790	P-0000863-T01
DMP0786	P-0000864-T01
DMP0794	P-0000865-T01
DMP0789	P-0000866-T01
DMP0793	P-0000867-T01
DMP0795	P-0000868-T01
DMP0796	P-0000869-T01
DMP0787	P-0000870-T01
DMP0792	P-0000871-T01
DMP0788	P-0000872-T01
DMP0814	P-0000873-T01
DMP0817	P-0000874-T01
DMP0819	P-0000875-T01
DMP0818	P-0000876-T01
DMP0816	P-0000877-T01
DMP0812	P-0000878-T01
DMP0821	P-0000879-T01
DMP0815	P-0000880-T01
DMP0820	P-0000881-T01
DMP0810	P-0000883-T01
DMP0813	P-0000884-T01
DMP0811	P-0000820-T02
DMP0823	P-0000885-T01
DMP0824	P-0000886-T01
DMP0822	P-0000887-T01
DMP0835	P-0000888-T01
DMP0826	P-0000889-T01
DMP0825	P-0000890-T01
DMP0827	P-0000891-T01
DMP0832	P-0000892-T01
DMP0836	P-0000893-T01
DMP0838	P-0000894-T01
DMP0830	P-0000895-T01
DMP0828	P-0000896-T01
DMP0839	P-0000897-T01
DMP0837	P-0000898-T01
DMP0833	P-0000899-T01
DMP0831	P-0000900-T01
DMP0834	P-0000901-T01
DMP0829	P-0000902-T01
DMP0851	P-0000903-T01
DMP0846	P-0000904-T01
DMP0845	P-0000905-T01
DMP0841	P-0000321-T02
DMP0852	P-0000906-T01
DMP0847	P-0000907-T01
DMP0842	P-0000908-T01
DMP0848	P-0000909-T01
DMP0850	P-0000910-T01
DMP0840	P-0000911-T01
DMP0849	P-0000912-T01
DMP0844	P-0000914-T01
DMP0843	P-0000915-T01
DMP0853	P-0000916-T01
DMP0859	P-0000917-T01
