mature	precursor	alias
hsa-mir-19b-1	hsa-miR-19b	mir-19b-1/19b
hsa-mir-19b-2	hsa-miR-19b-2*	mir-19b-2/2*
hsa-mir-19b-2	hsa-miR-19b	mir-19b-2/19b
hsa-mir-200a	hsa-miR-200a*	mir-200a/200a*
hsa-mir-200a	hsa-miR-200a	mir-200a/200a
hsa-mir-200b	hsa-miR-200b*	mir-200b/200b*
hsa-mir-200b	hsa-miR-200b	mir-200b/200b
hsa-mir-200c	hsa-miR-200c*	mir-200c/200c*
hsa-mir-200c	hsa-miR-200c	mir-200c/200c
hsa-mir-202	hsa-miR-202*	mir-202/202*
hsa-mir-202	hsa-miR-202	mir-202/202
hsa-mir-203	hsa-miR-203	mir-203/203
hsa-mir-204	hsa-miR-204	mir-204/204
hsa-mir-205	hsa-miR-205	mir-205/205
hsa-mir-205	hsa-miR-205*	mir-205/205*
hsa-mir-2052	hsa-miR-2052	mir-2052/2052
hsa-mir-2053	hsa-miR-2053	mir-2053/2053
hsa-mir-2054	hsa-miR-2054	mir-2054/2054
hsa-mir-206	hsa-miR-206	mir-206/206
hsa-mir-208a	hsa-miR-208a	mir-208a/208a
hsa-mir-208b	hsa-miR-208b	mir-208b/208b
hsa-mir-20a	hsa-miR-20a	mir-20a/20a
hsa-mir-20a	hsa-miR-20a*	mir-20a/20a*
hsa-mir-20b	hsa-miR-20b	mir-20b/20b
hsa-mir-20b	hsa-miR-20b*	mir-20b/20b*
hsa-mir-21	hsa-miR-21	mir-21/21
hsa-mir-21	hsa-miR-21*	mir-21/21*
hsa-mir-210	hsa-miR-210	mir-210/210
hsa-mir-211	hsa-miR-211	mir-211/211
hsa-mir-2110	hsa-miR-2110	mir-2110/2110
hsa-mir-2113	hsa-miR-2113	mir-2113/2113
hsa-mir-2114	hsa-miR-2114	mir-2114/2114
hsa-mir-2114	hsa-miR-2114*	mir-2114/2114*
hsa-mir-2115	hsa-miR-2115	mir-2115/2115
hsa-mir-2115	hsa-miR-2115*	mir-2115/2115*
hsa-mir-2116	hsa-miR-2116	mir-2116/2116
hsa-mir-2116	hsa-miR-2116*	mir-2116/2116*
hsa-mir-2117	hsa-miR-2117	mir-2117/2117
hsa-mir-212	hsa-miR-212	mir-212/212
hsa-mir-214	hsa-miR-214*	mir-214/214*
hsa-mir-214	hsa-miR-214	mir-214/214
hsa-mir-215	hsa-miR-215	mir-215/215
hsa-mir-216a	hsa-miR-216a	mir-216a/216a
hsa-mir-216b	hsa-miR-216b	mir-216b/216b
hsa-mir-217	hsa-miR-217	mir-217/217
hsa-mir-218-1	hsa-miR-218	mir-218-1/218
hsa-mir-218-1	hsa-miR-218-1*	mir-218-1/1*
hsa-mir-218-2	hsa-miR-218-2*	mir-218-2/2*
hsa-mir-218-2	hsa-miR-218	mir-218-2/218
hsa-mir-219-1	hsa-miR-219-5p	mir-219-1/5p
hsa-mir-219-1	hsa-miR-219-1-3p	mir-219-1/3p
hsa-mir-219-2	hsa-miR-219-2-3p	mir-219-2/3p
hsa-mir-219-2	hsa-miR-219-5p	mir-219-2/5p
hsa-mir-22	hsa-miR-22*	mir-22/22*
hsa-mir-22	hsa-miR-22	mir-22/22
hsa-mir-221	hsa-miR-221*	mir-221/221*
hsa-mir-221	hsa-miR-221	mir-221/221
hsa-mir-222	hsa-miR-222*	mir-222/222*
hsa-mir-222	hsa-miR-222	mir-222/222
hsa-mir-223	hsa-miR-223*	mir-223/223*
hsa-mir-223	hsa-miR-223	mir-223/223
hsa-mir-224	hsa-miR-224	mir-224/224
hsa-mir-224	hsa-miR-224*	mir-224/224*
hsa-mir-2276	hsa-miR-2276	mir-2276/2276
hsa-mir-2277	hsa-miR-2277-5p	mir-2277/5p
hsa-mir-2277	hsa-miR-2277-3p	mir-2277/3p
hsa-mir-2278	hsa-miR-2278	mir-2278/2278
hsa-mir-2355	hsa-miR-2355-5p	mir-2355/5p
hsa-mir-2355	hsa-miR-2355-3p	mir-2355/3p
hsa-mir-2392	hsa-miR-2392	mir-2392/2392
hsa-mir-23a	hsa-miR-23a*	mir-23a/23a*
hsa-mir-23a	hsa-miR-23a	mir-23a/23a
hsa-mir-23b	hsa-miR-23b*	mir-23b/23b*
hsa-mir-23b	hsa-miR-23b	mir-23b/23b
hsa-mir-23c	hsa-miR-23c	mir-23c/23c
hsa-mir-24-1	hsa-miR-24-1*	mir-24-1/1*
hsa-mir-24-1	hsa-miR-24	mir-24-1/24
hsa-mir-24-2	hsa-miR-24-2*	mir-24-2/2*
hsa-mir-24-2	hsa-miR-24	mir-24-2/24
hsa-mir-2467	hsa-miR-2467-5p	mir-2467/5p
hsa-mir-2467	hsa-miR-2467-3p	mir-2467/3p
hsa-mir-25	hsa-miR-25*	mir-25/25*
hsa-mir-25	hsa-miR-25	mir-25/25
hsa-mir-2681	hsa-miR-2681*	mir-2681/2681*
hsa-mir-2681	hsa-miR-2681	mir-2681/2681
hsa-mir-2682	hsa-miR-2682	mir-2682/2682
hsa-mir-2682	hsa-miR-2682*	mir-2682/2682*
hsa-mir-26a-1	hsa-miR-26a	mir-26a-1/26a
hsa-mir-26a-1	hsa-miR-26a-1*	mir-26a-1/1*
hsa-mir-26a-2	hsa-miR-26a-2*	mir-26a-2/2*
hsa-mir-26a-2	hsa-miR-26a	mir-26a-2/26a
hsa-mir-26b	hsa-miR-26b	mir-26b/26b
hsa-mir-26b	hsa-miR-26b*	mir-26b/26b*
hsa-mir-27a	hsa-miR-27a*	mir-27a/27a*
hsa-mir-27a	hsa-miR-27a	mir-27a/27a
hsa-mir-27b	hsa-miR-27b*	mir-27b/27b*
hsa-mir-27b	hsa-miR-27b	mir-27b/27b
hsa-mir-28	hsa-miR-28-5p	mir-28/5p
hsa-mir-28	hsa-miR-28-3p	mir-28/3p
hsa-mir-2861	hsa-miR-2861	mir-2861/2861
hsa-mir-2909	hsa-miR-2909	mir-2909/2909
hsa-mir-296	hsa-miR-296-5p	mir-296/5p
hsa-mir-296	hsa-miR-296-3p	mir-296/3p
hsa-mir-2964a	hsa-miR-2964a-5p	mir-2964a/5p
hsa-mir-2964a	hsa-miR-2964a-3p	mir-2964a/3p
hsa-mir-297	hsa-miR-297	mir-297/297
hsa-mir-298	hsa-miR-298	mir-298/298
hsa-mir-299	hsa-miR-299-5p	mir-299/5p
hsa-mir-299	hsa-miR-299-3p	mir-299/3p
hsa-mir-29a	hsa-miR-29a*	mir-29a/29a*
hsa-mir-29a	hsa-miR-29a	mir-29a/29a
