mature	genome_ID
hsa-miR-29a	hsa-mir-29a
hsa-miR-29a*	hsa-mir-29a
hsa-miR-29b	hsa-mir-29b-1
hsa-miR-29b	hsa-mir-29b-2
hsa-miR-29b-1*	hsa-mir-29b-1
hsa-miR-29b-2*	hsa-mir-29b-2
hsa-miR-29c	hsa-mir-29c
hsa-miR-29c*	hsa-mir-29c
hsa-miR-300	hsa-mir-300
hsa-miR-301a	hsa-mir-301a
hsa-miR-301b	hsa-mir-301b
hsa-miR-302a	hsa-mir-302a
hsa-miR-302a*	hsa-mir-302a
hsa-miR-302b	hsa-mir-302b
hsa-miR-302b*	hsa-mir-302b
hsa-miR-302c	hsa-mir-302c
hsa-miR-302c*	hsa-mir-302c
hsa-miR-302d	hsa-mir-302d
hsa-miR-302d*	hsa-mir-302d
hsa-miR-302e	hsa-mir-302e
hsa-miR-302f	hsa-mir-302f
hsa-miR-30a	hsa-mir-30a
hsa-miR-30a*	hsa-mir-30a
hsa-miR-30b	hsa-mir-30b
hsa-miR-30b*	hsa-mir-30b
hsa-miR-30c	hsa-mir-30c-1
hsa-miR-30c	hsa-mir-30c-2
hsa-miR-30c-1*	hsa-mir-30c-1
hsa-miR-30c-2*	hsa-mir-30c-2
hsa-miR-30d	hsa-mir-30d
hsa-miR-30d*	hsa-mir-30d
hsa-miR-30e	hsa-mir-30e
hsa-miR-30e*	hsa-mir-30e
hsa-miR-31	hsa-mir-31
hsa-miR-31*	hsa-mir-31
hsa-miR-32	hsa-mir-32
hsa-miR-32*	hsa-mir-32
hsa-miR-320a	hsa-mir-320a
hsa-miR-320b	hsa-mir-320b-1
hsa-miR-320b	hsa-mir-320b-2
hsa-miR-320c	hsa-mir-320c-1
hsa-miR-320c	hsa-mir-320c-2
hsa-miR-320d	hsa-mir-320d-1
hsa-miR-320d	hsa-mir-320d-2
hsa-miR-323-3p	hsa-mir-323
hsa-miR-323-5p	hsa-mir-323
hsa-miR-324-3p	hsa-mir-324
hsa-miR-324-5p	hsa-mir-324
hsa-miR-325	hsa-mir-325
hsa-miR-326	hsa-mir-326
hsa-miR-328	hsa-mir-328
hsa-miR-329	hsa-mir-329-1
hsa-miR-329	hsa-mir-329-2
hsa-miR-330-3p	hsa-mir-330
hsa-miR-330-5p	hsa-mir-330
hsa-miR-331-3p	hsa-mir-331
hsa-miR-331-5p	hsa-mir-331
hsa-miR-335	hsa-mir-335
hsa-miR-335*	hsa-mir-335
hsa-miR-337-3p	hsa-mir-337
hsa-miR-337-5p	hsa-mir-337
hsa-miR-338-3p	hsa-mir-338
hsa-miR-338-5p	hsa-mir-338
hsa-miR-339-3p	hsa-mir-339
hsa-miR-339-5p	hsa-mir-339
hsa-miR-33a	hsa-mir-33a
hsa-miR-33a*	hsa-mir-33a
hsa-miR-33b	hsa-mir-33b
