precusor	mature	alias
hsa-mir-6072	hsa-miR-6072	mir-6072/6072
hsa-mir-6827	hsa-miR-6827-3p	mir-6827/3p
hsa-mir-6826	hsa-miR-6826-5p	mir-6826/5p
hsa-mir-6826	hsa-miR-6826-3p	mir-6826/3p
hsa-mir-6825	hsa-miR-6825-5p	mir-6825/5p
hsa-mir-6825	hsa-miR-6825-3p	mir-6825/3p
hsa-mir-6824	hsa-miR-6824-5p	mir-6824/5p
hsa-mir-6824	hsa-miR-6824-3p	mir-6824/3p
hsa-mir-6823	hsa-miR-6823-5p	mir-6823/5p
hsa-mir-6823	hsa-miR-6823-3p	mir-6823/3p
hsa-mir-6822	hsa-miR-6822-5p	mir-6822/5p
hsa-mir-6822	hsa-miR-6822-3p	mir-6822/3p
hsa-mir-6821	hsa-miR-6821-5p	mir-6821/5p
hsa-mir-6821	hsa-miR-6821-3p	mir-6821/3p
hsa-mir-6820	hsa-miR-6820-5p	mir-6820/5p
hsa-mir-6820	hsa-miR-6820-3p	mir-6820/3p
hsa-mir-6819	hsa-miR-6819-5p	mir-6819/5p
hsa-mir-6819	hsa-miR-6819-3p	mir-6819/3p
hsa-mir-7847	hsa-miR-7847-3p	mir-7847/3p
hsa-mir-8081	hsa-miR-8081	mir-8081/8081
hsa-mir-6818	hsa-miR-6818-5p	mir-6818/5p
hsa-mir-6818	hsa-miR-6818-3p	mir-6818/3p
hsa-mir-6817	hsa-miR-6817-5p	mir-6817/5p
hsa-mir-6817	hsa-miR-6817-3p	mir-6817/3p
hsa-mir-6816	hsa-miR-6816-5p	mir-6816/5p
hsa-mir-6816	hsa-miR-6816-3p	mir-6816/3p
hsa-mir-7150	hsa-miR-7150	mir-7150/7150
hsa-mir-6815	hsa-miR-6815-5p	mir-6815/5p
hsa-mir-6815	hsa-miR-6815-3p	mir-6815/3p
hsa-mir-6814	hsa-miR-6814-5p	mir-6814/5p
hsa-mir-6814	hsa-miR-6814-3p	mir-6814/3p
hsa-mir-6813	hsa-miR-6813-5p	mir-6813/5p
hsa-mir-6813	hsa-miR-6813-3p	mir-6813/3p
hsa-mir-6812	hsa-miR-6812-5p	mir-6812/5p
